ID,NAME,LAT(D),LON(D),ALT(M),DATE(YMD),TIME,BAT(v),GPS,RFS(m),RFD(m),T(c),TN(c),TX(C),TNX(C),RH(%),WD1(D),WS1(m/s),WD2(D),WS2(m/s),SLP(hPa),SS(min),ST1(c),SM1(m3/m3),ST2(c),SM2(m3/m3),ST3(c),SM3(m3/m3),ST4(c),SM4(m3/m3),WSM1(m/s),WSM2(m/s)
"10018",Rajgir,25.035110,85.422188,69.00,2021-02-09,17:45:00,12.6,L,0,0,19.5,19.5,20.6000000000000014,,63.7000000000000028,0,0,,,1007.39999999999998,,,,,,,,,,0,
"10033",Harsidhi,26.672680,84.718820,77.00,2021-02-09,17:45:00,12.9,L,0,0,46.7999999999999972,46.7999999999999972,46.7999999999999972,,0.100000000000000006,0,0,,,-99,,,,,,,,,,0,
"10023",Sarmera,25.261097,85.798626,44.00,2021-02-09,17:45:00,12.5,L,0,0,22.5,22.5,23.1000000000000014,,55.1000000000000014,0,0,,,1008.89999999999998,,,,,,,,,,0,
"10038",Kalyanpur,26.432855,84.925760,66.00,2021-02-09,17:45:00,12.8,L,0,0,19.3000000000000007,19.3000000000000007,20.3000000000000007,,65.5,0,0,,,1005.20000000000005,,,,,,,,,,0,
"10016",Adhampur,25.036102,85.528875,70.00,2021-02-09,17:45:00,12.4,L,0,0,19.6999999999999993,19.6999999999999993,20.3000000000000007,,71.2999999999999972,1,0.380000000000000004,,,1006.70000000000005,,,,,,,,,,0.770000000000000018,
"10017",Katrisarai,25.086580,85.634330,62.00,2021-02-09,17:45:00,12.8,L,0,0,19.3000000000000007,19.3000000000000007,20.1000000000000014,,75,0,0,,,760,,,,,,,,,,0,
"10015",Bihar Sharif,25.177497,85.520509,60.00,2021-02-09,17:45:00,12.7,L,0,0,19.6000000000000014,19.6000000000000014,20.8999999999999986,,64.5,312,0,,,1008.29999999999995,,,,,,,,,,0.390000000000000013,
"10051",Ramgarhwa,26.875030,84.791200,76.00,2021-02-09,17:45:00,12.7,L,0,0,-99,-99,-99,,-99,-99,-99,,,-99,,,,,,,,,,-99,
"10048",Bankatwa,26.799485,85.042796,76.00,2021-02-09,17:45:00,12.6,L,0,0,20,20,21,,65.9000000000000057,0,0,,,-999,,,,,,,,,,0,
"10044",Dhaka,26.671040,85.156620,73.00,2021-02-09,17:45:00,12.6,L,0,0,21.5,21.5,22.1999999999999993,,58.2000000000000028,0,0,,,1005.60000000000002,,,,,,,,,,0,
"10046",Chiraia,26.701710,85.075720,73.00,2021-02-09,17:45:00,12.4,L,0,0,19.5,19.5,20.5,,70.5999999999999943,241,0,,,-999,,,,,,,,,,0.770000000000000018,
"10045",Ghorasahan,26.797060,85.130824,78.00,2021-02-09,17:45:00,12.2,L,0,0,20,20,20.8999999999999986,,69.4000000000000057,131,0,,,1006.60000000000002,,,,,,,,,,0.770000000000000018,
"10026",Chandi,25.320310,85.409290,56.00,2021-02-09,17:45:00,12.7,L,0,0,18.6000000000000014,18.6000000000000014,20.1000000000000014,,67.4000000000000057,267,0.149999999999999994,,,1009.89999999999998,,,,,,,,,,0.770000000000000018,
"10039",Madhuban,26.451580,85.154070,63.00,2021-02-09,17:45:00,12.5,L,0,0,20.3000000000000007,20.3000000000000007,21.1000000000000014,,68.2000000000000028,0,0,,,760,,,,,,,,,,0,
"10054",Kuriya,26.359544,85.226200,64.00,2021-02-09,17:45:00,12.2,L,0,0,18.8000000000000007,18.8000000000000007,19.6999999999999993,,69.7000000000000028,-99,-99,,,1009.20000000000005,,,,,,,,,,-99,
"10036",North Bariariya,26.486060,84.708578,66.00,2021-02-09,17:45:00,12.6,L,0,0,21.1000000000000014,21.1000000000000014,21.3999999999999986,,66.7000000000000028,-99,-99,,,1005.79999999999995,,,,,,,,,,-99,
"10002",Kishanpur,26.213383,86.679374,59.00,2021-02-09,17:45:00,12.6,L,0,0,20.1000000000000014,20.1000000000000014,20.8000000000000007,,67.5,0,0,,,1007.5,,,,,,,,,,0,
"10032",South Sugnaw,26.720150,84.766950,74.00,2021-02-09,17:45:00,13.2,L,0,0,18.8000000000000007,18.8000000000000007,19.6999999999999993,,74.9000000000000057,0,0,,,1005.79999999999995,,,,,,,,,,0,
"10043",Patahi,26.561810,85.141017,69.00,2021-02-09,17:45:00,12.9,L,0,0,18.5,18.5,19,,69.9000000000000057,-99,-99,,,1007,,,,,,,,,,-99,
"10020",Shankardi,25.224060,85.374700,56.00,2021-02-09,17:45:00,13.0,L,0,0,20.1999999999999993,20.1999999999999993,21.1999999999999993,,59.3999999999999986,0,0,,,1008.89999999999998,,,,,,,,,,0,
"10055",Devajit Parsauni,26.338150,85.088000,65.00,2021-02-09,17:45:00,12.9,L,0,0,19.3000000000000007,19.3000000000000007,19.8999999999999986,,71.7999999999999972,0,0,,,1007.29999999999995,,,,,,,,,,0,
